DateTime;Open;High;Low;Close;Volume
2015-07-13;311.18;312.0;281.5;292.65;74185.04905933954
2015-07-14;292.6;297.25;286.0;286.83;23532.186159998575
2015-07-15;286.87;294.44;283.51;285.42;21724.733369890102
2015-07-16;285.42;295.0;275.21;278.94;52862.423272790096
2015-07-17;278.93;281.55;272.0;279.82;25360.43591806015
2015-07-18;279.52;283.33;276.12;277.25;15393.905198210057
2015-07-19;277.25;279.18;274.69;275.04;8015.116445910095
2015-07-20;275.04;280.5;273.5;280.2;12344.241550540044
2015-07-21;280.2;282.1;275.09;275.55;13041.150582520073
2015-07-22;275.55;278.39;274.5;277.99;10965.624960059999
2015-07-23;277.88;278.44;275.56;276.51;5434.124773480029
2015-07-24;276.48;289.93;276.02;288.6;24289.517135709746
2015-07-25;288.58;292.35;286.39;289.37;11608.530055539837
2015-07-26;289.36;294.57;288.12;293.01;9326.277816540196
2015-07-27;293.0;298.74;286.0;294.84;25470.112077449066
2015-07-28;294.73;298.93;293.61;295.23;14363.192703519951
2015-07-29;295.24;295.68;286.02;289.92;15838.214410380182
2015-07-30;289.92;291.0;284.01;288.21;12138.697133409993
2015-07-31;288.02;289.85;281.0;284.45;14587.8217347302
2015-08-01;284.45;284.99;276.53;280.31;12322.367910250034
2015-08-02;280.31;283.44;276.26;282.44;11744.262928719965
2015-08-03;282.44;287.05;279.7;281.28;14793.628732140123
2015-08-04;281.28;285.94;281.28;285.47;11989.287824000141
2015-08-05;285.47;285.94;279.7;282.41;8849.632246700048
2015-08-06;282.58;282.58;278.0;279.08;8941.090098780094
2015-08-07;279.08;281.0;276.07;280.19;12711.18708131002
2015-08-08;280.04;280.32;260.62;261.34;36959.89705772951
2015-08-09;261.43;267.6;260.73;265.58;20867.962251439803
2015-08-10;265.69;267.72;262.17;265.1;10783.260243750194
2015-08-11;265.09;272.99;264.81;271.96;12654.873808700137
2015-08-12;271.97;273.75;265.8;267.09;16300.516077370432
2015-08-13;267.09;268.0;263.33;264.47;12871.17274446043
2015-08-14;264.47;268.97;262.13;266.09;13586.587360540125
2015-08-15;266.32;267.76;260.96;262.2;10398.48328344014
2015-08-16;262.04;262.9;256.5;259.9;27231.341181199587
2015-08-17;259.9;262.37;257.4;258.49;9940.919399620041
2015-08-18;258.5;258.5;162.0;214.0;88032.39934147075
2015-08-19;214.09;255.08;198.0;226.32;78315.06980800962
2015-08-20;226.27;237.94;226.27;235.54;26308.870332289764
2015-08-21;235.55;236.43;228.76;232.17;13064.183583590358
2015-08-22;232.46;234.71;221.77;230.27;20895.613416809767
2015-08-23;230.33;232.88;223.05;228.53;12119.38389326006
2015-08-24;228.1;228.69;207.62;210.5;53295.40793750034
2015-08-25;210.49;228.77;196.6;222.68;69277.66517373954
2015-08-26;222.68;232.38;220.1;226.12;23772.395953610114
2015-08-27;226.13;229.5;224.0;225.76;11742.600585420649
2015-08-28;225.66;238.9;220.11;231.83;27328.703368359187
2015-08-29;232.08;234.03;227.16;230.75;10072.007419020252
2015-08-30;230.9;233.96;225.2;229.99;8821.01196508001
2015-08-31;229.99;233.69;225.31;231.35;10923.583399070125
2015-09-01;231.06;232.39;226.55;228.24;9810.611827330114
2015-09-02;228.24;231.89;226.51;229.71;9011.856467250098
2015-09-03;229.71;229.96;226.1;227.25;6915.709671040035
2015-09-04;227.29;231.66;227.01;230.89;10799.598315180154
2015-09-05;230.88;239.76;230.01;235.84;12199.23029430019
2015-09-06;235.84;248.48;235.5;240.97;20519.614031039502
2015-09-07;241.0;243.0;239.03;240.85;6949.441157790075
2015-09-08;240.91;247.68;240.27;244.2;16374.811754580382
2015-09-09;244.2;245.57;238.38;239.07;14351.38526353012
2015-09-10;238.97;241.9;237.01;239.49;10791.492806040324
2015-09-11;239.4;242.89;228.42;240.6;10243.492035090077
2015-09-12;240.9;241.0;235.33;235.77;9280.942915210137
2015-09-13;235.86;236.85;228.95;230.96;10215.583029140076
2015-09-14;231.11;233.9;228.4;230.89;9416.990722880053
2015-09-15;231.07;232.93;227.33;230.93;7621.528125070036
2015-09-16;230.91;232.12;227.38;228.99;8185.353556170145
2015-09-17;228.99;235.94;228.99;233.61;12037.789945620074
2015-09-18;233.65;236.26;227.0;228.34;9007.772552590124
2015-09-19;233.79;234.19;231.5;232.09;4329.1572734200145
2015-09-20;232.01;233.38;231.4;232.12;3457.17417392999
2015-09-21;232.11;232.97;226.38;227.22;9274.07985298007
2015-09-22;227.25;233.95;224.25;231.11;18854.936608829947
2015-09-23;231.43;233.0;230.03;230.54;5720.275474650018
2015-09-24;230.57;236.25;230.54;234.65;15377.240966720165
2015-09-25;234.65;237.7;233.05;235.26;9861.427777099965
2015-09-26;235.39;235.95;233.75;234.63;4796.048117480021
2015-09-27;234.63;234.78;233.0;233.37;2592.0015538299995
2015-09-28;233.37;241.44;233.37;240.43;12488.220159990176
2015-09-29;240.43;241.5;236.61;236.8;9459.778905360072
2015-09-30;236.9;238.78;235.11;236.49;5152.915200890015
2015-10-01;236.72;240.09;236.19;238.48;6107.430969470034
2015-10-02;238.25;240.0;237.33;237.86;5607.989364589998
2015-10-03;237.84;241.11;237.68;239.79;6221.097362500028
2015-10-04;239.73;240.93;239.29;239.5;2081.9424153699965
2015-10-05;239.47;242.89;236.24;242.0;12198.937020280227
2015-10-06;242.01;249.01;241.51;247.36;16277.349544900164
2015-10-07;247.35;247.93;243.5;244.0;8806.626528770086
2015-10-08;244.0;245.65;242.62;243.0;6046.705283539993
2015-10-09;242.99;245.45;242.63;244.82;3572.489262149995
2015-10-10;244.93;246.41;243.5;246.01;4196.526677410012
2015-10-11;245.93;248.73;243.75;247.99;4868.941701890049
2015-10-12;247.92;248.45;245.21;246.17;5203.509982030038
2015-10-13;246.15;253.43;244.0;251.25;16746.31969231019
2015-10-14;251.08;255.95;250.1;253.5;10143.266936650085
2015-10-15;253.5;257.5;253.44;255.19;10462.870492320108
2015-10-16;255.19;267.83;254.91;263.45;21966.84227808004
2015-10-17;263.47;275.19;258.32;272.9;42840.66767714943
2015-10-18;272.9;274.66;263.3;265.01;15347.193091630204
2015-10-19;265.29;268.28;262.35;265.1;10903.419168970106
2015-10-20;265.02;273.97;264.39;270.97;14439.644085140011
2015-10-21;270.99;272.28;264.1;267.8;10617.446295940053
2015-10-22;267.99;279.97;267.3;275.83;27240.769584500067
2015-10-23;275.83;280.9;275.15;279.21;15857.563337830137
2015-10-24;279.04;284.47;279.0;284.19;13934.586567240396
2015-10-25;284.19;295.99;281.2;284.79;40017.65079689933
2015-10-26;284.7;287.92;282.25;287.22;17157.556275239873
2015-10-27;287.22;298.86;286.71;295.29;26822.842290729448
2015-10-28;295.29;307.99;295.29;304.5;35610.63970486943
2015-10-29;304.5;321.53;301.5;314.88;51213.843312279976
2015-10-30;314.23;336.0;313.82;328.19;62862.23793759053
2015-10-31;328.2;335.87;307.2;316.0;42942.3117877901
2015-11-01;316.0;333.49;313.6;330.23;25673.087017649857
2015-11-02;330.23;373.12;326.8;365.33;71218.14798775043
2015-11-03;365.08;423.88;361.11;405.0;171811.47423274157
2015-11-04;404.98;504.0;366.66;409.24;274470.23823394766
2015-11-05;409.23;449.95;370.0;387.14;157932.0479826522
2015-11-06;387.93;396.78;351.2;375.56;106656.20529615282
2015-11-07;375.56;392.23;371.32;384.99;34416.713462930195
2015-11-08;384.28;390.33;365.56;374.1;30831.923010959825
2015-11-09;374.52;388.99;360.0;381.1;38111.9548491391
2015-11-10;381.1;383.4;327.02;340.18;88482.28569644043
2015-11-11;340.18;343.79;300.28;314.45;117018.93148586505
2015-11-12;314.45;346.44;314.14;336.84;57236.75520545162
